scenario,seed,allocator,task_completion_rate,mean_completion_time,system_throughput,mean_amv_availability,fault_impact_score,deadlock_frequency,mean_packet_loss_rate,energy_efficiency,convergence_rate,connectivity_maintenance,physics_impact_on_faults,thermocline_crossing_penalty,congestion_drop_rate,stalled_amv_timesteps,mean_task_delay,max_task_delay,never_completed_tasks
amv_loss,888,cbba,0.9333333333333333,139.0,0.028,0.3295021770821916,0.4684,0.0,0.5596610169491525,25.299806452227706,1.5609756097560976,0.92,-0.21511565883284325,0.4386440677966102,0.08949152542372882,90,73.2,161.0,1
amv_loss,9999,cbba,0.8666666666666667,171.69230769230768,0.026,0.3303675071248548,0.5128,0.0,0.5517955801104972,23.734861738966174,1.5819672131147542,1.0,0.34382875953284836,0.2866022099447514,0.12016574585635359,476,86.93333333333334,336.0,2
amv_loss,10,cbba,0.9333333333333333,175.78571428571428,0.028,0.3051279640024514,0.4932,0.0,0.5511049723756906,25.2211654539143,1.752,0.96,0.8918291079323588,0.2883977900552486,0.14972375690607734,16,66.6,170.0,1
amv_loss,20,cbba,0.8666666666666667,178.30769230769232,0.026,0.34905918965602184,0.4892,0.0,0.5891003460207612,26.318703764450404,1.5333333333333334,0.74,0.054643879903048614,0.3209342560553633,0.11937716262975778,297,93.06666666666666,270.0,2
amv_loss,30,cbba,1.0,158.53333333333333,0.03,0.48081533874152144,0.36363636363636365,0.0,0.544955044955045,21.280870736001354,1.4941176470588236,0.8856304985337243,-0.614342091320938,0.21978021978021978,0.08491508491508491,0,60.93333333333333,177.0,0
amv_loss,40,cbba,0.8666666666666667,182.15384615384616,0.026,0.32123275876472407,0.6488,0.0,0.6050257731958762,26.606180617107082,1.935483870967742,0.94,0.8529736651764435,0.3228092783505155,0.15141752577319587,136,65.93333333333334,280.0,2
amv_loss,50,cbba,1.0,141.26666666666668,0.03,0.40964554594244434,0.5043243243243243,0.0,0.5390161153519932,21.632731598023113,1.7872340425531914,0.7324324324324324,-0.758286756471568,0.3299406276505513,0.10941475826972011,27,59.4,128.0,0
amv_loss,60,cbba,0.8666666666666667,127.92307692307692,0.026,0.3217948170223137,0.4976,0.0,0.5900523560209424,23.914755336109142,1.7886178861788617,0.962,-0.945594442522846,0.34450261780104713,0.13298429319371727,354,83.86666666666666,344.0,2
amv_loss,70,cbba,0.8666666666666667,126.76923076923077,0.026,0.4039892939397148,0.3976,0.0,0.5261461318051576,27.933672568364628,1.6083333333333334,0.902,0.5053355014734039,0.21991404011461319,0.09025787965616046,292,79.13333333333334,240.0,2
amv_loss,80,cbba,0.9333333333333333,171.28571428571428,0.028,0.3262663991645809,0.4852,0.0,0.536150234741784,23.55122435986434,1.540983606557377,0.702,0.215366340946816,0.3586854460093897,0.08450704225352113,221,72.6,305.0,1
amv_loss,90,cbba,0.9333333333333333,170.42857142857142,0.028,0.34097074229040436,0.5332,0.0,0.5703075957313245,23.38152676191171,1.935483870967742,0.88,-0.7031264524603771,0.290646578782172,0.13308223477715003,106,60.2,203.0,1
amv_loss,1000,cbba,0.8,184.91666666666666,0.024,0.30996915072858666,0.56,0.0,0.5927734375,29.925100501674603,1.7118644067796611,0.42,0.748919729359045,0.2724609375,0.1298828125,386,86.8,274.0,3
comm_blackout,42,cbba,0.8666666666666667,115.07692307692308,0.026,0.45626622188331,0.4648,0.0,0.5898345153664303,18.39135662498832,1.6050420168067228,0.68,0.2766077355374887,0.2986603624901497,0.08274231678486997,357,72.13333333333334,351.0,2
comm_blackout,100,cbba,0.8666666666666667,118.6923076923077,0.026,0.41940967666271334,0.4964,0.0,0.6386597938144329,21.380375261184067,1.3278688524590163,0.48,0.13523767289483044,0.4463917525773196,0.0577319587628866,321,94.93333333333334,363.0,2
comm_blackout,2023,cbba,0.9333333333333333,179.57142857142858,0.028,0.4436714927461596,0.5124,0.0,0.6849002849002849,18.160932123808553,1.848,0.68,0.5222743464159697,0.3247863247863248,0.13105413105413105,347,77.93333333333334,360.0,1
comm_blackout,888,cbba,0.9333333333333333,128.71428571428572,0.028,0.4601113525420711,0.4568,0.0,0.6438301282051282,16.96919121957901,1.3898305084745763,0.618,0.9819222945597305,0.4407051282051282,0.041666666666666664,291,90.93333333333334,331.0,1
comm_blackout,9999,cbba,1.0,150.53333333333333,0.03,0.4785652535312178,0.48488745980707393,0.0,0.6757779646761984,13.881788618233736,1.8452380952380953,0.5144694533762058,0.4380875424659768,0.38519764507989906,0.1295206055508831,0,56.13333333333333,134.0,0
comm_blackout,10,cbba,0.9333333333333333,169.85714285714286,0.028,0.4187863022120334,0.4088,0.0,0.6380407124681934,19.42423582491637,1.6504065040650406,0.678,0.28098079967222317,0.20419847328244276,0.13549618320610687,112,88.93333333333334,321.0,1
